Year	Month	Date	Production	Product2014
1977	Jan	1977.04	378.39	
1977	Feb	1977.13	382.50	
1977	March	1977.21	382.26	
1977	April	1977.29	392.00	
1977	May	1977.38	400.65	
1977	June	1977.46	405.00	
1977	July	1977.54	393.87	
1977	Aug	1977.63	396.77	
1977	Sept	1977.71	403.00	
1977	Oct	1977.79	390.97	
1977	Nov	1977.88	388.00	
1977	Dec	1977.96	379.35	
1978	Jan	1978.04	381.29	
1978	Feb	1978.13	387.86	
1978	March	1978.21	390.97	
1978	April	1978.29	398.00	
1978	May	1978.38	403.55	
1978	June	1978.46	407.00	
1978	July	1978.54	398.71	
1978	Aug	1978.63	394.84	
1978	Sept	1978.71	400.00	
1978	Oct	1978.79	394.84	
1978	Nov	1978.88	389.00	
1978	Dec	1978.96	381.29	
1979	Jan	1979.04	383.23	
1979	Feb	1979.13	390.00	
1979	March	1979.21	390.00	
1979	April	1979.29	402.00	
1979	May	1979.38	404.52	
1979	June	1979.46	410.00	
1979	July	1979.54	397.74	
1979	Aug	1979.63	398.71	
1979	Sept	1979.71	407.00	
1979	Oct	1979.79	395.81	
1979	Nov	1979.88	390.00	
1979	Dec	1979.96	394.84	
1980	Jan	1980.04	396.77	
1980	Feb	1980.13	402.41	
1980	March	1980.21	407.42	
1980	April	1980.29	415.00	
1980	May	1980.38	420.00	
1980	June	1980.46	424.00	
1980	July	1980.54	413.23	
1980	Aug	1980.63	408.39	
1980	Sept	1980.71	412.00	
1980	Oct	1980.79	398.71	
1980	Nov	1980.88	394.00	
1980	Dec	1980.96	396.77	
1981	Jan	1981.04	403.55	
1981	Feb	1981.13	408.21	
1981	March	1981.21	414.19	
1981	April	1981.29	426.00	
1981	May	1981.38	427.74	
1981	June	1981.46	433.00	
1981	July	1981.54	421.94	
1981	Aug	1981.63	426.77	
1981	Sept	1981.71	429.00	
1981	Oct	1981.79	416.13	
1981	Nov	1981.88	412.00	
1981	Dec	1981.96	414.19	
1982	Jan	1982.04	419.03	
1982	Feb	1982.13	421.07	
1982	March	1982.21	424.84	
1982	April	1982.29		
1982	May	1982.38		
1982	June	1982.46		
1982	July	1982.54		
1982	Aug	1982.63		
1982	Sept	1982.71		
1982	Oct	1982.79		
1982	Nov	1982.88		
1982	Dec	1982.96		
1983	Jan	1983.04	435.48	
1983	Feb	1983.13	442.50	
1983	March	1983.21	448.06	
1983	April	1983.29	454.00	
1983	May	1983.38	461.61	
1983	June	1983.46	471.00	
1983	July	1983.54	465.48	
1983	Aug	1983.63	460.65	
1983	Sept	1983.71	465.00	
1983	Oct	1983.79	453.87	
1983	Nov	1983.88	448.00	
1983	Dec	1983.96	446.13	
1984	Jan	1984.04	439.35	
1984	Feb	1984.13	448.97	
1984	March	1984.21	449.03	
1984	April	1984.29	453.00	
1984	May	1984.38	448.06	
1984	June	1984.46	449.00	
1984	July	1984.54	444.19	
1984	Aug	1984.63	436.45	
1984	Sept	1984.71	435.00	
1984	Oct	1984.79	422.90	
1984	Nov	1984.88	416.00	
1984	Dec	1984.96	420.97	
1985	Jan	1985.04	430.65	
1985	Feb	1985.13	436.07	
1985	March	1985.21	441.29	
1985	April	1985.29	449.00	
1985	May	1985.38	470.32	
1985	June	1985.46	481.00	
1985	July	1985.54	478.06	
1985	Aug	1985.63	475.16	
1985	Sept	1985.71	470.00	
1985	Oct	1985.79	460.65	
1985	Nov	1985.88	450.00	
1985	Dec	1985.96	448.06	
1986	Jan	1986.04	450.00	
1986	Feb	1986.13	456.43	
1986	March	1986.21	458.71	
1986	April	1986.29	465.00	
1986	May	1986.38	474.19	
1986	June	1986.46	472.00	
1986	July	1986.54	446.13	
1986	Aug	1986.63	443.23	
1986	Sept	1986.71	435.00	
1986	Oct	1986.79	417.10	
1986	Nov	1986.88	406.00	
1986	Dec	1986.96	407.42	
1987	Jan	1987.04	419.03	
1987	Feb	1987.13	425.36	
1987	March	1987.21	431.61	
1987	April	1987.29	438.00	
1987	May	1987.38	447.10	
1987	June	1987.46	452.00	
1987	July	1987.54	441.29	
1987	Aug	1987.63	434.52	
1987	Sept	1987.71	430.00	
1987	Oct	1987.79	420.97	
1987	Nov	1987.88	415.00	
1987	Dec	1987.96	420.97	
1988	Jan	1988.04	424.84	
1988	Feb	1988.13	431.38	
1988	March	1988.21	433.55	
